ts,stream_key,model,risk_score,threshold,is_anomaly,label,window_size,top_template
0.0,hdfs:,ensemble,134.4468,1.0,True,1,50,tid=6692: <NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP> is...
0.0,hdfs:,ensemble,131.831376,1.0,True,1,50,tid=6695: <NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: <BLK> is added to invalidSet of <...
0.0,hdfs:,ensemble,132.596306,1.0,True,0,50,tid=6675: <NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: Receiving block <BLK> src: /<IP> dest: /<IP>
0.0,hdfs:,ensemble,132.151911,1.0,True,0,50,tid=6685: <NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: Received block <BLK> of size <HEX> from /<IP>
0.0,hdfs:,ensemble,131.870168,1.0,True,0,50,tid=6695: <NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: <BLK> is added to invalidSet of <...
0.0,hdfs:,ensemble,132.428259,1.0,True,0,50,tid=6685: <NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: Received block <BLK> of size <HEX> from /<IP>
0.0,hdfs:,ensemble,132.454311,1.0,True,0,50,tid=6672: <NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: <IP> Served block <BLK> to /<IP>
0.0,bgl:,ensemble,130.414887,1.0,True,1,50,tid=1730: - <HEX> <DATE> <NODE> <TS> <NODE> RAS KERNEL INFO <NUM> microseconds spent in the rbs signal handler...
0.0,hdfs:,ensemble,131.994654,1.0,True,0,50,tid=6684: <NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder <NUM> for block <BLK> terminati...
0.0,hdfs:,ensemble,131.420517,1.0,True,1,50,tid=6675: <NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: Receiving block <BLK> src: /<IP> dest: /<IP>
0.0,hdfs:,ensemble,132.839914,1.0,True,1,50,tid=6684: <NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder <NUM> for block <BLK> terminati...
0.0,bgl:,ensemble,129.570103,1.0,True,1,50,tid=1343: - <HEX> <DATE> <NODE> <TS> <NODE> RAS APP FATAL ciod: Error loading <PATH>: invalid or missing progr...
0.0,hdfs:,ensemble,132.315062,1.0,True,1,50,tid=6695: <NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: <BLK> is added to invalidSet of <...
0.0,hdfs:,ensemble,132.193195,1.0,True,1,50,tid=6675: <NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: Receiving block <BLK> src: /<IP> dest: /<IP>
